Umrechnung avg;category AVG;category HR;Value HR;HR;Number of Players;avg (Partition) 2;avg (Partition);avg;handedness;height (Partition);height;Group Top 100 AVG;Group Top 10 HR;Group Top 100 HR;Group Top 10 AVG;name;weight (Partition);weight
30,3;Top;Top;210-239;219;1;0.300 - 0.319;0.30;0,303;left;71.28;72;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Al Oliver, Bake McBride, Bill Madlock und 7 mehr;Al Oliver;192;195
29,9;Top;Normal;60-89;63;1;0.280 - 0.299;0.28;0,299;left;73.26;74;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Al Oliver, Bake McBride, Bill Madlock und 7 mehr;Bake McBride;184;190
30,5;Top;Top;150-179;163;1;0.300 - 0.319;0.30;0,305;right;69.30;71;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Al Oliver, Bake McBride, Bill Madlock und 7 mehr;Bill Madlock;176;180
31,1;Top;Normal;0-29;23;1;0.300 - 0.319;0.30;0,311;left;71.28;73;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Al Oliver, Bake McBride, Bill Madlock und 7 mehr;Lyman Bostock;176;180
30,4;Top;Normal;30-59;31;1;0.300 - 0.319;0.30;0,304;right;69.30;70;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Al Oliver, Bake McBride, Bill Madlock und 7 mehr;Manny Mota;160;160
30,7;Top;Normal;30-59;31;1;0.300 - 0.319;0.30;0,307;left;67.32;69;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Al Oliver, Bake McBride, Bill Madlock und 7 mehr;Matty Alou;160;160
30,3;Top;Top;150-179;160;1;0.300 - 0.319;0.30;0,303;both;69.30;71;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Al Oliver, Bake McBride, Bill Madlock und 7 mehr;Pete Rose;192;192
30,6;Top;Normal;60-89;75;1;0.300 - 0.319;0.30;0,306;left;69.30;71;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Al Oliver, Bake McBride, Bill Madlock und 7 mehr;Ralph Garr;184;185
32,8;Top;Normal;90-119;92;1;0.32 +;0.32;0,328;left;71.28;72;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Al Oliver, Bake McBride, Bill Madlock und 7 mehr;Rod Carew;168;170
30,4;Top;Top;210-239;220;1;0.300 - 0.319;0.30;0,304;left;71.28;73;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Al Oliver, Amos Otis, Andre Thornton und 97 mehr;Al Oliver, Bake McBride, Bill Madlock und 7 mehr;Tony Oliva;168;175
24,7;Normal;Normal;30-59;59;1;0.240 - 0.259;0.24;0,247;right;71.28;73;Andere;Andere;Andere;Adolfo Phillips;Adolfo Phillips;168;175
28,1;Top;Normal;30-59;54;1;0.280 - 0.299;0.28;0,281;left;67.32;68;Al Bumbry, Al Oliver, Alex Johnson und 97 mehr;Andere;Andere;Al Bumbry;Al Bumbry;168;170
27;Normal;Normal;90-119;108;1;0.260 - 0.279;0.26;0,27;right;71.28;73;Andere;Andere;Andere;Al Cowens;Al Cowens;192;197
12,7;Normal;Normal;0-29;2;1;0.120 - 0.139;0.12;0,127;right;69.30;71;Andere;Andere;Andere;Al Downing;Al Downing;168;175
25,9;Normal;Normal;30-59;51;1;0.240 - 0.259;0.24;0,259;right;71.28;73;Andere;Andere;Andere;Al Ferrara;Al Ferrara;200;200
26,3;Normal;Normal;0-29;11;1;0.260 - 0.279;0.26;0,263;right;71.28;72;Andere;Andere;Andere;Al Gallagher;Al Gallagher;176;180
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;76;Andere;Andere;Andere;Al Jones;Al Jones;208;210
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;73.26;75;Andere;Andere;Andere;Al Lachowicz;Al Lachowicz;192;198
23,5;Normal;Normal;30-59;33;1;0.220 - 0.239;0.22;0,235;left;69.30;70;Andere;Andere;Andere;Al Luplow;Al Luplow;168;175
21,9;Normal;Normal;0-29;7;1;0.200 - 0.219;0.20;0,219;both;71.28;72;Andere;Andere;Andere;Al Weis;Al Weis;160;160
27,1;Normal;Normal;30-59;35;1;0.260 - 0.279;0.26;0,271;left;73.26;75;Andere;Andere;Andere;Al Woods;Al Woods;184;190
24,5;Normal;Normal;90-119;90;1;0.240 - 0.259;0.24;0,245;both;73.26;74;Andere;Andere;Andere;Alan Ashby;Alan Ashby;184;185
27;Normal;Normal;0-29;19;1;0.260 - 0.279;0.26;0,27;right;69.30;71;Andere;Andere;Andere;Alan Bannister;Alan Bannister;168;170
21,3;Normal;Normal;0-29;12;1;0.200 - 0.219;0.20;0,213;right;71.28;72;Andere;Andere;Andere;Alan Knicely;Alan Knicely;184;190
25,9;Normal;Normal;0-29;5;1;0.240 - 0.259;0.24;0,259;both;73.26;74;Andere;Andere;Andere;Alan Wiggins;Alan Wiggins;160;160
0;Normal;Normal;0-29;0;1;0.000 - 0.019;0.00;0;right;75.24;76;Andere;Andere;Andere;Alan Wirth;Alan Wirth;184;190
